id	description	type
1172577	Cavernicolous (troglophile)	ecology
1172581	Cavernicolous & terrestrial?	ecology
1172858	Domiciliary pest	ecology
1173117	Cavernicolous (troglobite)	ecology
1173227	Occasionally a domiciliary pest	ecology
1174146	Cavernicolous (troglophile)	ecology
1174159	Occasionally a domiciliary pest	ecology
1174169	Occasionally a domiciliary pest	ecology
1174353	Domiciliary pest	ecology
1174355	Domiciliary pest	ecology
1174410	In holes in dead wood in spiny forest.	ecology
1174418	Under rocks and in hollow logs in spiny forest.	ecology
1174466	Domiciliary pest	ecology
1174476	Domiciliary pest	ecology
1174487	Cavernicolous & probably epigean	ecology
1174490	Domiciliary pest	ecology
1174616	Cavernicolous (troglophile)	ecology
1174627	Domiciliary pest	ecology
1175066	Cavernicolous (troglophile)	ecology
1175095	In termite nest.	ecology
1175155	Cavernicolous (troglobite)	ecology
1175269	Cavernicolous (troglophile)	ecology
1175275	Cavernicolous (troglobite)	ecology
1175280	Cavernicolous (troglophile)	ecology
1175294	Cavernicolous (troglobite)	ecology
1175297	Cavernicolous (troglobite)	ecology
1175300	Cavernicolous (troglophile)	ecology
1175301	Cavernicolous (troglobite)	ecology
1175303	Synanthropic	ecology
1175365	Epigean	ecology
1175366	Cavernicolous (troglobite)	ecology
1175367	Epigean	ecology
1175368	Cavernicolous (troglobite)	ecology
1175369	Epigean	ecology
1175370	Cavernicolous (troglobite)	ecology
1175371	Epigean	ecology
1175372	Epigean	ecology
1175376	Epigean	ecology
1175377	Epigean	ecology
1175379	Epigean	ecology
1175380	Epigean	ecology
1175381	Cavernicolous (troglobite)	ecology
1175382	Cavernicolous (troglobite)	ecology
1175385	Cavernicolous (troglobite)	ecology
1175444	Synanthropic	ecology
1175448	Cavernicolous	ecology
1175449	Cavernicolous	ecology
1175450	Vine scrub	ecology
1175454	Cavernicolous (troglophile)	ecology
1175456	Cavernicolous	ecology
1175470	Occasionally a domiciliary pest	ecology
1175473	Occasionally a domiciliary pest	ecology
1175474	Occasionally a domiciliary pest	ecology
1175500	Myrmecophilous	ecology
1175693	Cavernicolous (troglophile)	ecology
1175694	Cavernicolous (troglophile)	ecology
1175700	Cavernicolous (troglophile)	ecology
1175701	Domiciliary pest	ecology
1175721	Cavernicolous (troglophile)	ecology
1175778	Cavernicolous (troglobite)	ecology
1176302	Synanthropic	ecology
1176334	Myrmecophilous	ecology
1176456	Myrmecophilous	ecology
1176496	Myrmecophilous	ecology
1176497	Myrmecophilous	ecology
1176502	Myrmecophilous	ecology
1176503	Myrmecophilous	ecology
